player,draft_year,draft_pick,college,nfl_value,similarity
Demo Receiver 163,2023,136,Demo State 19,16295,0.7645451806284698
Demo Receiver 166,2023,121,Demo State 22,10390,0.7286833057819563
Demo Receiver 120,2021,191,Demo State 24,9444,0.7256303613675269
Demo Receiver 034,2019,17,Demo State 10,25073,0.7162851156968191
Demo Receiver 121,2022,159,Demo State 1,6752,0.6895395027446446
Demo Receiver 013,2018,102,Demo State 13,19040,0.637306903669351
Demo Receiver 060,2019,208,Demo State 12,7830,0.630345782780494
Demo Receiver 170,2023,227,Demo State 2,1358,0.5916866641624831
Demo Receiver 203,2024,185,Demo State 11,2849,0.5541225418640203
Demo Receiver 206,2024,130,Demo State 14,17563,0.5480452609594747

