player,draft_year,draft_pick,college,conference,age,height_in,weight_lb,rec_per_game,yards_per_game,yards_per_reception,yard_share,td_share,forty,vertical,broad_jump,bmi,speed_score,nfl_value,predicted_nfl_value,model_grade,model_rank,market_rank,sleeper_score
Demo Receiver 001,2018,244,Demo State 1,Conference A,22.7,71.9,202.0,5.5,91.5,16.636363636363637,0.321334503950834,0.2424242424242424,4.73,39.8,110.0,27.46938357052079,80.71175712405854,10108,14617.353974457112,67.1,14,30,16
Demo Receiver 053,2019,187,Demo State 5,Conference C,19.6,75.3,199.0,6.181818181818182,82.36363636363636,13.323529411764708,0.2458616010854817,0.175,4.61,36.3,123.0,24.672800608103227,88.12099058929013,8109,16447.460130549818,73.3,6,21,15
Demo Receiver 189,2024,218,Demo State 21,Conference D,20.7,71.1,182.0,6.727272727272728,80.0909090909091,11.905405405405403,0.2469170403587444,0.2307692307692307,4.61,33.5,119.0,25.309729961762223,80.59306677010454,4788,13383.895212498799,61.0,12,26,14
Demo Receiver 205,2024,172,Demo State 13,Conference E,20.4,70.1,177.0,6.307692307692308,90.15384615384616,14.292682926829269,0.2880314573605308,0.2413793103448276,4.4,38.4,131.0,25.32168229205883,94.44795437470115,16462,20334.360702058548,82.4,6,19,13
Demo Receiver 040,2019,203,Demo State 16,Conference E,22.3,70.8,213.0,4.166666666666667,71.66666666666667,17.2,0.2603693611867999,0.217391304347826,4.54,32.9,112.0,29.872282868907405,100.27350314491092,9552,12259.763137515742,57.1,11,24,13
Demo Receiver 135,2022,225,Demo State 15,Conference E,20.9,77.8,211.0,4.8,57.2,11.916666666666666,0.2205939066718087,0.3157894736842105,4.58,35.6,116.0,24.50634743360142,95.90705136717418,15036,10814.464101191377,49.0,17,29,12
Demo Receiver 099,2021,185,Demo State 3,Conference D,19.6,71.4,182.0,4.769230769230769,75.38461538461539,15.806451612903226,0.2506393861892583,0.375,4.65,31.2,122.0,25.097489976382704,77.85554910814287,10958,13068.907386863659,60.0,12,22,10
Demo Receiver 022,2018,243,Demo State 22,Conference B,23.0,73.1,209.0,4.461538461538462,73.07692307692308,16.379310344827587,0.2648452746027321,0.2631578947368421,4.72,34.8,123.0,27.49583146973676,84.2186522709029,2613,9267.966313422094,41.9,19,29,10
Demo Receiver 114,2021,133,Demo State 18,Conference D,23.2,69.3,206.0,7.461538461538462,81.0,10.855670103092784,0.2844408427876823,0.3888888888888889,4.5,35.2,123.0,30.1547738777176,100.4724889498552,10323,16660.730248990905,74.8,8,17,9
Demo Receiver 069,2020,88,Demo State 21,Conference D,22.1,76.3,221.0,5.307692307692308,73.92307692307692,13.92753623188406,0.264010989010989,0.25,4.61,36.5,124.0,26.686924243647464,97.86300964941266,12720,13897.274230766265,64.8,10,19,9
Demo Receiver 095,2021,218,Demo State 23,Conference E,20.5,73.9,231.0,3.636363636363636,52.18181818181818,14.35,0.1636259977194983,0.2105263157894736,4.54,35.6,119.0,29.735717908668587,108.7473203120865,6821,10128.951012573956,44.3,16,25,9
Demo Receiver 163,2023,136,Demo State 19,Conference C,22.7,74.0,200.0,5.0,89.16666666666667,17.833333333333332,0.214,0.3333333333333333,4.67,39.2,113.0,25.67567567567568,84.09931705980391,16295,13717.227562293869,63.3,11,19,8
